src,dst,volume,path_nodes
14762,14762,1.0,"[14762, 13502]"
19545,19545,180.0,"[19545, 18935]"
19545,19545,107.0,"[19545, 16313, 18935]"
13009,13009,300.0,"[13009, 10575]"
16313,16313,122.0,"[16313, 18935]"
18935,18935,1.0,"[18935, 13009, 10045, 14762, 11484, 11581]"
10045,10045,300.0,"[10045, 11484]"
18249,18249,1.0,"[18249, 14762, 13009]"
19545,19545,1.0,"[19545, 11484, 11177]"
16313,16313,1.0,"[16313, 10045, 19545, 12398]"
13502,13502,1.0,"[13502, 14762, 13009]"
19545,19545,67.0,"[19545, 11484, 10757]"
13502,13502,28.0,"[13502, 10379]"
18249,18249,1.0,"[18249, 11484, 11177]"
11484,11484,1.0,"[11484, 19545]"
13009,13009,1.0,"[13009, 14762, 13502]"
19545,19545,1.0,"[19545, 13502, 14762]"
13502,13502,261.0,"[13502, 12398]"
10045,10045,69.0,"[10045, 14762, 10575]"
19545,19545,1.0,"[19545, 10575, 11484, 11581]"
10305,10305,60.0,"[10305, 11581, 11177, 13502]"
10305,10305,28.0,"[10305, 11581, 11177, 18545, 13502]"
18249,18249,43.0,"[18249, 18545]"
13009,13009,1.0,"[13009, 10575, 18647]"
13009,13009,90.0,"[13009, 18647]"
18935,18935,45.0,"[18935, 13009]"
13502,13502,1.0,"[13502, 14762, 11484, 11581]"
19545,19545,1.0,"[19545, 10575, 11484]"
18249,18249,1.0,"[18249, 10045, 19545]"
18545,18545,236.0,"[18545, 10045]"
18935,18935,259.0,"[18935, 19545]"
10045,10045,1.0,"[10045, 14762, 13502]"
19545,19545,119.0,"[19545, 13502, 18249]"
19545,19545,1.0,"[19545, 13009, 18249]"
19545,19545,180.0,"[19545, 18249]"
13502,13502,168.0,"[13502, 19545]"
13009,13009,27.0,"[13009, 14762, 12398]"
13009,13009,3.0,"[13009, 10045, 19545, 12398]"
13009,13009,270.0,"[13009, 12398]"
19545,19545,76.0,"[19545, 13502, 10379]"
19545,19545,164.0,"[19545, 18647, 10379]"
19545,19545,60.0,"[19545, 16313, 10379]"
16313,16313,1.0,"[16313, 10045, 13009, 18249, 18545]"
10305,10305,300.0,"[10305, 11581]"
13502,13502,1.0,"[13502, 14762, 11484, 11177]"
18249,18249,1.0,"[18249, 14762, 12398]"
16313,16313,30.0,"[16313, 13009, 18249]"
16313,16313,270.0,"[16313, 18249]"
18935,18935,300.0,"[18935, 18249]"
19545,19545,300.0,"[19545, 13009]"
16313,16313,63.0,"[16313, 10045, 14762, 11484, 11581]"
16313,16313,10.0,"[16313, 18935, 10379, 11484, 11581]"
16313,16313,155.0,"[16313, 18545, 10757, 11581]"
16313,16313,72.0,"[16313, 12398, 14412, 11581]"
14412,14412,300.0,"[14412, 10045]"
13502,13502,1.0,"[13502, 14762, 11484]"
11177,11177,300.0,"[11177, 13502]"
13009,13009,1.0,"[13009, 18249]"
10045,10045,300.0,"[10045, 18647]"
18935,18935,1.0,"[18935, 10379, 11484, 11177]"
18935,18935,270.0,"[18935, 11177]"
16313,16313,91.0,"[16313, 18935, 10575]"
19545,19545,300.0,"[19545, 10575]"
18935,18935,1.0,"[18935, 13009, 14762, 11484, 18647]"
19545,19545,1.0,"[19545, 12398]"
10045,10045,63.0,"[10045, 19545]"
18249,18249,1.0,"[18249, 11484, 11581]"
13009,13009,1.0,"[13009, 18249, 18545]"
18935,18935,39.0,"[18935, 10379]"
16313,16313,40.0,"[16313, 18935, 10575, 18647]"
16313,16313,153.0,"[16313, 19545, 18647]"
18935,18935,1.0,"[18935, 18249, 18545]"
18935,18935,30.0,"[18935, 10379, 10757]"
18935,18935,270.0,"[18935, 10757]"
13009,13009,1.0,"[13009, 14762, 11484, 10757]"
19545,19545,1.0,"[19545, 11484, 14412]"
13009,13009,12.0,"[13009, 14762, 11484, 11177]"
13009,13009,19.0,"[13009, 18249, 10757, 11177]"
13009,13009,180.0,"[13009, 11177]"
18249,18249,237.0,"[18249, 13502]"
13009,13009,300.0,"[13009, 10045]"
19545,19545,43.0,"[19545, 18647]"
13502,13502,119.0,"[13502, 10575]"
11581,11581,188.0,"[11581, 10305]"
19545,19545,1.0,"[19545, 13009, 10045]"
16313,16313,300.0,"[16313, 10379]"
16313,16313,1.0,"[16313, 10045, 14762, 11484, 14412]"
13009,13009,1.0,"[13009, 14762]"
13009,13009,1.0,"[13009, 18935]"
18249,18249,1.0,"[18249, 13502, 10379]"
10045,10045,185.0,"[10045, 11177]"
16313,16313,1.0,"[16313, 10045, 14762, 13009]"
13502,13502,1.0,"[13502, 14762]"
13502,13502,1.0,"[13502, 14762, 11484, 10757]"
19545,19545,146.0,"[19545, 13502]"
16313,16313,1.0,"[16313, 10045, 14762, 10575, 11484]"
16313,16313,150.0,"[16313, 13009, 18249, 10757]"
16313,16313,43.0,"[16313, 18935, 10379, 10757]"
16313,16313,90.0,"[16313, 10575, 10757]"
16313,16313,17.0,"[16313, 18545, 10757]"
13502,13502,28.0,"[13502, 18249, 18545]"
13502,13502,90.0,"[13502, 10379, 18545]"
13502,13502,4.0,"[13502, 18935, 10575, 18545]"
13009,13009,1.0,"[13009, 10045, 14762, 11484, 11581]"
16313,16313,90.0,"[16313, 10045, 19545]"
16313,16313,3.0,"[16313, 18935, 19545]"
16313,16313,207.0,"[16313, 19545]"
10045,10045,1.0,"[10045, 14762, 10575, 11484, 10757]"
18935,18935,7.0,"[18935, 19545, 12398]"
18935,18935,90.0,"[18935, 12398]"
18647,18647,1.0,"[18647, 10575, 10045]"
13009,13009,58.0,"[13009, 10379]"
18249,18249,1.0,"[18249, 14762, 18935]"
18935,18935,300.0,"[18935, 10575]"
10379,10379,300.0,"[10379, 13502]"
10045,10045,17.0,"[10045, 10379, 10757, 11581]"
10045,10045,18.0,"[10045, 18647, 14412, 11581]"
10045,10045,85.0,"[10045, 11177, 11581]"
10045,10045,180.0,"[10045, 11581]"
13502,13502,30.0,"[13502, 10575, 18647]"
13502,13502,270.0,"[13502, 18647]"
13502,13502,1.0,"[13502, 14762, 11484, 14412]"
10045,10045,300.0,"[10045, 18545]"
